,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
33046,TOI-1260 c,TOI-1260,2021,Transit,7.49325,0.0656,2.82,11.8,14.5716,28.4,643.0,K6 V,4227.0,45.37156,142.80364,240.04359240283566,-101.94632047125093,-134.32703669241408
33076,TOI-132 b,TOI-132,2020,Transit,2.1097019,0.026,3.42,22.4,18.807,860.0,1395.0,G8 V,5397.0,-57.81809,353.41363,533.8462359192112,32.61304372771731,282.4547887843029
33088,TOI-1416 b,TOI-1416,2023,Transit,1.0697568,0.019,1.62,3.48,13.0219,883.0,1517.0,G9 V,4884.0,65.39358,76.1889,179.43003885520062,-72.55150176956981,17.835262242991963
33093,TOI-1431 b,TOI-1431,2021,Transit,2.650237,0.046,16.701,991.62463,34.913,5300.0,2370.0,Am C,7690.0,5.72303,94.60687,485.7283855146601,-481.74586283472394,-38.818489609221274
33099,TOI-1452 b,TOI-1452,2022,Transit,11.06201,0.061,1.672,4.82,16.9316,1.8,326.0,M4 &#177 0.5 V,3185.0,23.81292,104.66497,99.54684035568268,-88.10539553971056,-23.05645302576169
33106,TOI-1470 b,TOI-1470,2023,Transit,2.527093,0.0285,2.18,7.32,15.126,46.3,734.0,M1.5 V,3709.0,-1.62965,121.59773,169.43921669298132,-144.26108936495362,-88.74213587063308
33107,TOI-1470 c,TOI-1470,2023,Transit,18.08816,0.106,2.47,7.24,11.6538,3.35,373.0,M1.5 V,3709.0,-1.62965,121.59773,169.43921669298132,-144.26108936495362,-88.74213587063308
33118,TOI-157 b,TOI-157,2020,Transit,2.0845435,0.03138,14.415,375.0394,17.7244,1062.0,1588.0,G9 IV,5404.0,-32.93009,289.06331,1160.0827889542443,920.2982273672839,318.0219907898357
33124,TOI-1634 b,TOI-1634,2021,Transit,0.989343,0.01545,1.79,4.91,15.0487,121.0,924.0,M2,3550.0,-13.8523,157.38273,115.04709605029319,-42.95728491178351,-103.11063714999734
33140,TOI-169 b,TOI-169,2020,Transit,2.2554477,0.03524,12.173,251.40353,16.661,1443.0,1715.0,G1 V,5880.0,-41.88837,301.58794,1330.196170879966,843.5408810098425,518.7050900264891
33150,TOI-1695 b,TOI-1695,2022,Transit,3.1342791,0.033548,1.9,6.36,17.3011,39.0,698.0,M1 V,3690.0,9.62112,125.71643,147.19730867096573,-117.83087878694516,-84.72132201413305
33160,TOI-1728 b,TOI-1728,2020,Transit,3.49151,0.0391,5.05,26.78,10.3122,57.78,767.0,M0,3980.0,31.87904,151.4597,198.29655452422566,-80.45115046927006,-147.92437243726852
33170,TOI-1759 b,TOI-1759,2022,Transit,18.85019,0.1177,3.14,10.8,10.757,6.39,443.0,M0.0 V,4065.0,7.03023,103.55005,130.67585735772408,-126.08346429917614,-30.386472869582335
33181,TOI-1789 b,TOI-1789,2021,Transit,3.208664,0.04882,16.141,222.47988,8.386,2300.0,1927.0,F,5991.0,45.58561,201.71923,747.1166297444125,193.49036930912084,-485.745212470572
33186,TOI-181 b,TOI-181,2023,Transit,4.532,0.0539,6.956,46.1687,9.3703,102.43,895.0,K,4994.0,-70.81433,5.3051,313.8726762191754,-9.536994222149223,102.70627866541433
