discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
Radial Velocity,2010,4.03519,0.051,14.034,416.99296,,1432,,5945,1148.93,GJ 357 d
Radial Velocity,2010,4.03519,0.051,9.92,415.704,,1700,G0 V,5945,1148.93,GJ 3634 b
Transit,2010,4.03515,,,,,,G0 V,5945,1148.93,GJ 367 b
Radial Velocity,2010,4.03519,0.05107,9.92,423.03173,,,,5945,1148.93,GJ 367 c
Radial Velocity,2010,1.51214,0.027,12.22,2415.4,,1952,F9 V,6035,1744.6,GJ 367 d
Radial Velocity,2010,1.51214,0.02691,12.218,2358.2986,,,,6040,1744.6,GJ 3779 b
Transit,2010,1.51214,0.02687,11.411,2437.7561,,1936,,6035,1744.6,GJ 3929 b
Radial Velocity,2011,5.35227,0.0618,13.115,168.13207,,,,5650,732.409,GJ 3929 c
Radial Velocity,2011,5.35227,0.0618,13.11,170.032,,,G5 V,5650,732.409,GJ 393 b
Radial Velocity,2011,3.7681,0.0461,11.43,772.29,,1626,G2 V,5740,1176.12,GJ 3942 b
Radial Velocity,2011,3.7681,0.0481,11.433,765.9703,,,,5740,1176.12,GJ 3998 b
Radial Velocity,2011,3.7681,0.0481,11.287,781.8618,,1610,,5740,1176.12,GJ 3998 c
Radial Velocity,2011,1.9000693,0.0295,14.684,1099.6918,,,,5440,764.889,GJ 411 b
Radial Velocity,2011,1.90009,0.0288,12.846,1048.839,,1487,,,764.889,GJ 414 A b
Radial Velocity,2011,1.9000693,0.0286,14.022,1039.3041,,1490,,5440,764.889,GJ 414 A c
Radial Velocity,2011,1.9000769,,,,,,G9 V,5440,764.889,GJ 422 b
Radial Velocity,2011,1.90008625,,15.05,,823.7,1366,,5440,764.889,GJ 4276 b
Radial Velocity,2011,1.9000693,0.0295,14.68,1102.82,,1550,G9 V,5440,764.889,GJ 433 b
Radial Velocity,2011,3.89712026,,13.493,,1103.81,1470,,6090,790.663,GJ 433 c
Radial Velocity,2011,3.89713,0.0512,13.339,346.4347,,1630,,6090,790.663,GJ 433 d
Radial Velocity,2011,3.897131,,,,,,F9 V,6090,790.663,GJ 436 b
Radial Velocity,2011,3.89713,0.0518,14.46,352.78,,2000,F9 V,6090,790.663,GJ 463 b
Radial Velocity,2011,3.89713,0.05166,14.46,367.09365,,,,6090,790.663,GJ 480 b
Radial Velocity,2008,1.7429975,,15.85,1052.0173,,1535,,5625,213.283,GJ 486 b
Imaging,2008,1.74299673,,,,,,,5529,213.283,GJ 504 b
Radial Velocity,2008,1.74301433,,16.923,,932.91,1410,,5529,213.283,GJ 514 b
Radial Velocity,2008,1.7429935,0.02798,16.432,1102.82,,,,5625,213.283,GJ 536 b
Radial Velocity,2008,1.7429935,0.02854,16.477,1150.5446,,1548,,5696,213.283,GJ 581 b
Radial Velocity,2008,1.74299673,0.0281,16.432,1048.839,,,,5625,213.283,GJ 581 c
Radial Velocity,2008,1.74299906,,,,,,,,213.283,GJ 581 e
Radial Velocity,2008,1.74299609,,16.533,,,,,5575,213.283,GJ 625 b
Radial Velocity,2008,1.7429935,0.02835,16.365,1134.6531,,1521,,5598,213.283,GJ 649 b
Radial Velocity,2008,1.7429964,0.0281,16.421,1051.973,,,,,213.283,GJ 667 C b
Radial Velocity,2008,1.742997,,,,,,,5696,213.283,GJ 667 C c
Radial Velocity,2011,9.24323029,,15.397,,180.87,935,,5880,844.061,GJ 667 C e
Radial Velocity,2011,9.24285,0.0901,9.416,1344.4209,,,,5880,844.061,GJ 667 C f
Radial Velocity,2011,9.24318,0.0891,11.209,1315.8162,,1024,,,844.061,GJ 667 C g
Radial Velocity,2011,9.24285,0.0902,9.42,1347.54,,1002,G2 V,5880,844.061,GJ 674 b
Radial Velocity,2011,9.24285,0.09,,1366.669,,,,,844.061,GJ 676 A b
Radial Velocity,2011,9.24285,0.0892,13.002,1608.2198,,1100,,5880,844.061,GJ 676 A c
Radial Velocity,2018,1675,2.9,,5403.11,,,,,844.061,GJ 676 A d
Radial Velocity,2012,2.72474,0.0416,14.572,705.5826,,,,6200,,GJ 676 A e
Radial Velocity,2012,2.72474,0.0417,14.572,718.2958,,,F8 IV,6200,,GJ 680 b
Radial Velocity,2014,9.75598,0.092,4.88,12.2,,885,G3 V,5939,627.158,GJ 682 b
Radial Velocity,2011,3.6313,0.04809,13.227,972.5598,,1710,,5900,1060.97,GJ 682 c
Radial Velocity,2011,3.6313,0.0484,11.769,982.0947,,,,5900,1060.97,GJ 685 b
Radial Velocity,2011,3.6313,0.048,11.77,889.9,,1660,G0 V,5900,1060.97,GJ 687 b
Radial Velocity,2014,5.1134,0.056,3.7,5.7,,1070,K1 V,4950,591.555,GJ 687 c
Radial Velocity,2014,11.759,0.098,5,28,,850,K1 V,4950,591.555,GJ 720 A b
Radial Velocity,2013,4.86069,0.05789,12.106,93.12419,,,,6040,1103.48,GJ 740 b
Radial Velocity,2013,4.86069,0.0578,12.11,85.81,,1330,F9,6040,1103.48,GJ 832 b
Radial Velocity,2013,4.20474,0.0525,14.123,184.3414,,,,5590,1045.18,GJ 849 b
