pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
NGTS-12 b,NGTS-12,2020,Transit,7.532806,0.0757,11.747,66.10864,0.479075857,4.7047,416,1257,G,5690,25.30286,288.04232,1456.099056,1251.672544,407.7154263
NGTS-15 b,NGTS-15,2021,Transit,3.27623,0.0441,12.33,238.68913,1.570024712,15.4181,425,1146,G6 V,5600,-37.98373,234.7828,2565.170987,1651.778704,-1165.944465
NGTS-16 b,NGTS-16,2021,Transit,4.84532,0.0523,14.572,211.99155,0.99834403,9.804,480,1177,G7 V,5550,-50.37343,229.39967,2929.432215,1418.567593,-1215.87365
NGTS-17 b,NGTS-17,2021,Transit,3.24253,0.0391,13.899,242.8209,1.256952756,12.3437,1160,1457,G4 V,5650,-38.60499,236.48794,3392.939566,2210.712961,-1463.908264
NGTS-18 b,NGTS-18,2021,Transit,3.05125,0.0448,13.563,129.99182,0.706650224,6.9395,845,1381,G5 V,5610,26.25398,291.77668,3575.293597,2977.64963,1189.569293
NGTS-8 b,NGTS-8,2019,Transit,2.4997,0.035,12.218,295.5819,1.980056555,19.4447,503,1345,K0 V,5241,-47.14354,41.59543,1399.132583,-631.7617228,711.68468
NGTS-9 b,NGTS-9,2019,Transit,4.43527,0.058,11.994,921.707,6.407148602,62.9201,729,1448,F8 V,6330,22.2152,250.6186,1986.70982,1735.008222,-610.35983
Qatar-3 b,Qatar-3,2017,Transit,2.5079204,0.03783,12.285,1369.8473,9.076571569,89.1347,1330,1681,G0 V,6007,-25.35493,110.71755,2399.209576,-2027.900925,-766.9898351
Qatar-4 b,Qatar-4,2017,Transit,1.8053564,0.02803,12.722,1938.763,11.97881728,117.6356,614,1385,K1 V,5215,-18.46753,116.87585,1073.171899,-907.9610814,-460.1538461
Qatar-5 b,Qatar-5,2017,Transit,2.8792319,0.04127,12.408,1373.0256,8.918156003,87.579,669,1415,G2 V,5747,-20.60282,118.33015,1199.140015,-988.007844,-532.6582417
TOI-1062 b,TOI-1062,2021,Transit,4.11296,0.052,2.265,10.15,1.97847073,19.4292,232,1077,G9 V,5328,-37.81231,296.49611,268.0134587,189.4970235,94.46366748
TOI-1075 b,TOI-1075,2022,Transit,0.6047328,0.01159,1.791,9.95,3.1019294,30.4619,509.2,1323,K9 V/M0 V,3875,-35.68168,330.01703,200.4531005,81.36911157,141.0322265
TOI-1107 b,TOI-1107,2022,Transit,4.0782387,0.0561,14.572,1064.72516,5.014171587,49.2407,532,1728,F6 V,6311,-20.84697,297.90095,917.5235524,757.7845384,401.2423469
TOI-1201 b,TOI-1201,2021,Transit,2.4919863,0.0287,2.415,6.28,1.076776016,10.5743,40.6,703,M2.0 V,3476,-59.89292,194.18797,123.571193,15.1928812,-60.09473644
TOI-1231 b,TOI-1231,2021,Transit,24.245586,0.1288,3.65,15.4,1.155939201,11.3517,1.93,330,M3 V,3553,4.38237,281.8256,90.09319775,87.92323871,18.40912439
TOI-1235 b,TOI-1235,2020,Transit,3.444717,0.03826,1.694,5.9,2.056009891,20.1906,60.3,775,M0.5 V,3997,41.71685,140.91663,129.2704495,-60.83403779,-74.9006745
TOI-1246 b,TOI-1246,2022,Transit,4.30744,0.049,3.01,8.1,0.894029867,8.7796,196,955,K V,5151,35.90788,102.34143,552.5806583,-437.2260338,-95.66192791
